Log_Interval,10000,  uSec,,,,,,,,
Start,2023-07-26, 00:01:44,,,,,,,,
rec no,Acc x, Acc y, Acc z, Gyr x, Gyr y, Gyr z,Bat Cur.,Bat Volt,,
390,-9.98,0.13,0.17,0.01,0.01,0.01,117,11,,
391,-9.98,0.12,0.13,0.01,0.01,0,141,24,,
392,-10,0.13,0.15,0.02,0.01,0.01,120,11,,
393,-9.97,0.13,0.13,0.02,0.01,0.01,146,24,,
394,-9.97,0.12,0.07,0.02,0.01,0.01,117,10,,
395,-9.99,0.14,0.15,0.01,0.01,0.01,140,24,,
396,-9.99,0.14,0.17,0.02,0.01,0.01,122,9,,
397,-9.97,0.14,0.15,0.02,0.01,0.01,138,25,,
398,-9.95,0.12,0.16,0.01,0,0.01,123,11,,
399,-9.97,0.14,0.15,0.02,0.01,0,145,24,,
400,-10,0.14,0.11,0.02,0.01,0.01,118,9,,
401,-9.97,0.13,0.15,0.02,0.01,0.01,144,23,,
402,-9.97,0.13,0.28,0.01,0.01,0.01,124,10,,
403,-9.98,0.13,0.2,0.02,0.01,0.01,140,25,,
404,-9.98,0.13,0.17,0.02,0.01,0.01,119,9,,
405,-9.98,0.14,0.16,0.02,0,0.01,138,24,,
406,-9.98,0.16,0.15,0.02,0.01,0.01,118,10,,
407,-9.98,0.13,0.14,0.02,0.01,0.01,145,23,,
408,-9.99,0.14,0.16,0.02,0,0.01,120,7,,
409,-10,0.15,0.2,0.01,0.01,0.01,138,22,,
410,-9.97,0.13,0.17,0.02,0.01,0.01,128,10,,
